"author.steamid","Crusader Kings III","Crusader Kings III: Royal Court","Vote_change"
"76561197960531547",TRUE,TRUE,"Remained positive"
"76561197960701860",TRUE,TRUE,"Remained positive"
"76561197962147937",TRUE,TRUE,"Remained positive"
"76561197962963654",TRUE,TRUE,"Remained positive"
"76561197964212662",TRUE,TRUE,"Remained positive"
"76561197964931984",TRUE,TRUE,"Remained positive"
"76561197965571134",TRUE,FALSE,"Changed from positive to negative"
"76561197965961039",TRUE,FALSE,"Changed from positive to negative"
"76561197966180305",TRUE,FALSE,"Changed from positive to negative"
"76561197966421896",FALSE,FALSE,"Remained negative"
"76561197966511707",TRUE,TRUE,"Remained positive"
"76561197966874044",TRUE,TRUE,"Remained positive"
"76561197967160002",TRUE,TRUE,"Remained positive"
"76561197967241706",TRUE,FALSE,"Changed from positive to negative"
"76561197967352151",TRUE,FALSE,"Changed from positive to negative"
"76561197967358331",TRUE,TRUE,"Remained positive"
"76561197967426975",TRUE,FALSE,"Changed from positive to negative"
"76561197967546217",TRUE,FALSE,"Changed from positive to negative"
"76561197967614531",TRUE,FALSE,"Changed from positive to negative"
"76561197967774170",TRUE,TRUE,"Remained positive"
"76561197967781315",FALSE,FALSE,"Remained negative"
"76561197968146538",TRUE,FALSE,"Changed from positive to negative"
"76561197969687669",TRUE,FALSE,"Changed from positive to negative"
"76561197969768203",TRUE,TRUE,"Remained positive"
"76561197969893907",TRUE,TRUE,"Remained positive"
"76561197970348674",TRUE,FALSE,"Changed from positive to negative"
"76561197970384554",TRUE,TRUE,"Remained positive"
"76561197970486639",TRUE,TRUE,"Remained positive"
"76561197970530938",FALSE,FALSE,"Remained negative"
"76561197970596905",TRUE,TRUE,"Remained positive"
"76561197970658884",TRUE,TRUE,"Remained positive"
"76561197970777522",TRUE,FALSE,"Changed from positive to negative"
"76561197971262824",TRUE,TRUE,"Remained positive"
"76561197972120528",TRUE,FALSE,"Changed from positive to negative"
"76561197972214039",TRUE,TRUE,"Remained positive"
"76561197972229972",TRUE,FALSE,"Changed from positive to negative"
"76561197972230567",TRUE,TRUE,"Remained positive"
"76561197972273299",TRUE,FALSE,"Changed from positive to negative"
"76561197972319247",FALSE,FALSE,"Remained negative"
"76561197972326242",TRUE,TRUE,"Remained positive"
"76561197972552656",TRUE,TRUE,"Remained positive"
"76561197972921637",TRUE,TRUE,"Remained positive"
"76561197974320864",TRUE,FALSE,"Changed from positive to negative"
"76561197975016498",TRUE,FALSE,"Changed from positive to negative"
"76561197975439972",TRUE,FALSE,"Changed from positive to negative"
"76561197975498727",FALSE,FALSE,"Remained negative"
"76561197977258969",TRUE,TRUE,"Remained positive"
"76561197977378983",TRUE,TRUE,"Remained positive"
"76561197977492642",TRUE,TRUE,"Remained positive"
"76561197979740638",TRUE,TRUE,"Remained positive"
"76561197980275967",TRUE,TRUE,"Remained positive"
"76561197980608516",TRUE,TRUE,"Remained positive"
"76561197981074767",TRUE,TRUE,"Remained positive"
"76561197982105412",TRUE,TRUE,"Remained positive"
"76561197982169040",TRUE,FALSE,"Changed from positive to negative"
"76561197983089712",TRUE,FALSE,"Changed from positive to negative"
"76561197983234798",TRUE,TRUE,"Remained positive"
"76561197983527496",TRUE,TRUE,"Remained positive"
"76561197983637763",TRUE,TRUE,"Remained positive"
"76561197984821036",TRUE,TRUE,"Remained positive"
"76561197984855878",TRUE,TRUE,"Remained positive"
"76561197985235454",TRUE,TRUE,"Remained positive"
"76561197986279290",TRUE,TRUE,"Remained positive"
"76561197986356414",TRUE,TRUE,"Remained positive"
"76561197986621377",TRUE,TRUE,"Remained positive"
"76561197986629379",TRUE,FALSE,"Changed from positive to negative"
"76561197986754491",TRUE,TRUE,"Remained positive"
"76561197986775314",TRUE,FALSE,"Changed from positive to negative"
"76561197987024846",FALSE,TRUE,"Changed from negative to positive"
"76561197987276188",TRUE,FALSE,"Changed from positive to negative"
"76561197987304197",TRUE,TRUE,"Remained positive"
"76561197987310746",TRUE,FALSE,"Changed from positive to negative"
"76561197987514015",TRUE,TRUE,"Remained positive"
"76561197988145684",TRUE,TRUE,"Remained positive"
"76561197988214521",FALSE,FALSE,"Remained negative"
"76561197988443224",TRUE,TRUE,"Remained positive"
"76561197988620944",TRUE,TRUE,"Remained positive"
"76561197988759666",TRUE,FALSE,"Changed from positive to negative"
"76561197988805158",FALSE,FALSE,"Remained negative"
"76561197988851209",TRUE,FALSE,"Changed from positive to negative"
