"review_group","review_words","word_count","count_normalise","game"
"Negative reviews","game",4961,0.0353861736426146,"Crusader Kings III"
"Negative reviews","just",1499,0.0106921738138035,"Crusader Kings III"
"Negative reviews","ck2",1368,0.00975776769665326,"Crusader Kings III"
"Negative reviews","like",1302,0.00928699820251648,"Crusader Kings III"
"Negative reviews","can",1009,0.00719706696339411,"Crusader Kings III"
"Negative reviews","get",946,0.00674769608262718,"Crusader Kings III"
"Negative reviews","paradox",855,0.00609860481040829,"Crusader Kings III"
"Negative reviews","play",823,0.00587035293446318,"Crusader Kings III"
"Negative reviews","time",744,0.0053068561157237,"Crusader Kings III"
"Negative reviews","one",720,0.00513566720876487,"Crusader Kings III"
"Negative reviews","even",717,0.00511426859539502,"Crusader Kings III"
"Negative reviews","much",620,0.00442238009643642,"Crusader Kings III"
"Negative reviews","dlc",610,0.00435105138520357,"Crusader Kings III"
"Negative reviews","ck3",604,0.00430825415846386,"Crusader Kings III"
"Negative reviews","really",571,0.00407286941139547,"Crusader Kings III"
"Negative reviews","now",568,0.00405147079802562,"Crusader Kings III"
"Negative reviews","good",538,0.00383748466432709,"Crusader Kings III"
"Negative reviews","new",530,0.00378042169534081,"Crusader Kings III"
"Negative reviews","war",528,0.00376615595309424,"Crusader Kings III"
"Negative reviews","make",522,0.00372335872635453,"Crusader Kings III"
"Negative reviews","hours",513,0.00365916288624497,"Crusader Kings III"
"Negative reviews","way",482,0.00343804388142315,"Crusader Kings III"
"Negative reviews","fun",470,0.00335244942794374,"Crusader Kings III"
"Negative reviews","games",464,0.00330965220120403,"Crusader Kings III"
"Negative reviews","still",441,0.00314559616536848,"Crusader Kings III"
"Negative reviews","ai",434,0.00309566606750549,"Crusader Kings III"
"Negative reviews","playing",424,0.00302433735627265,"Crusader Kings III"
"Negative reviews","also",416,0.00296727438728637,"Crusader Kings III"
"Negative reviews","better",398,0.00283888270706725,"Crusader Kings III"
"Negative reviews","many",390,0.00278181973808097,"Crusader Kings III"
"Negative reviews","years",390,0.00278181973808097,"Crusader Kings III"
"Negative reviews","want",386,0.00275328825358783,"Crusader Kings III"
"Negative reviews","2",382,0.0027247567690947,"Crusader Kings III"
"Negative reviews","every",382,0.0027247567690947,"Crusader Kings III"
"Negative reviews","things",361,0.00257496647550572,"Crusader Kings III"
"Negative reviews","people",353,0.00251790350651944,"Crusader Kings III"
"Negative reviews","lot",339,0.00241804331079346,"Crusader Kings III"
